Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;500.0;60.0;2;20;1;68.0;17;1
Guindalera;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;20.0;1;0;0;50.0;18;1
Nueva España;Chamartín;Bed & Breakfast;Private room;2;1.5;1.0;Real Bed;0.0;0.0;2;30;0;55.0;14;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;15.0;2;10;0;80.0;14;1
Imperial;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;43.0;4;0
Cortes;Centro;Apartment;Entire home/apt;6;3.0;4.0;Real Bed;0.0;77.0;2;0;2;160.0;20;0
Numancia;Puente de Vallecas;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;2;42.0;12;0
Palacio;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;16.0;9;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;32.0;2;11;1;81.0;17;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;150.0;30.0;1;35;0;65.0;11;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;300.0;15.0;2;10;1;55.0;9;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;28.0;11;0
Pradolongo;Usera;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;0;2;53.0;14;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;1;0;2;60.0;20;0
Embajadores;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;200.0;70.0;3;10;2;125.0;15;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;65.0;11;0
Sol;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;200.0;50.0;3;20;2;160.0;16;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;5;2;25.0;11;0
Palacio;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;20.0;15;0
Universidad;Centro;Condominium;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;2;20;0;55.0;17;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;5;1;30.0;14;0
Sol;Centro;Apartment;Private room;2;5.0;1.0;Real Bed;200.0;0.0;1;0;2;33.0;18;1
Sol;Centro;Apartment;Entire home/apt;7;1.0;3.0;Real Bed;0.0;20.0;6;20;2;93.0;21;0
